drug,tested_peptide_drug_pairs,regression_global_fdr_hits,regression_within_drug_fdr_hits,wilcoxon_screening_hits,combined_screening_hits,median_abs_regression_slope,median_abs_treatment_shift,min_regression_global_q_value,min_regression_within_drug_q_value,min_wilcoxon_within_drug_q_value,decreasing,increasing,flat,percent_regression_within_drug_fdr_hits
BMS-387032,4132,0,0,1129,1129,0.07417403816403564,0.3383725117385685,0.16783749543400608,0.4170474503269008,0.03158635029354207,0.0,0.0,0,0.0
Abemaciclib,3085,0,0,1122,1122,0.1628458011557411,0.577901403937938,0.14640457546147145,0.18355762555446897,0.0459077380952381,0.0,0.0,0,0.0
AMG-208,4707,0,0,1078,1078,0.24254927443355126,0.585217137634146,0.14622788536908046,0.112422812933727,0.0734000748502994,0.0,0.0,0,0.0
Apatinib,4684,0,0,998,998,0.06056365402697838,0.293961514222695,0.14622788536908046,0.19251309235529834,0.026691283734500363,0.0,0.0,0,0.0
AZD-7762,4086,0,0,908,908,0.10674864043598134,0.3272388426523971,0.14622788536908046,0.10149649906642341,0.038834397810218975,0.0,0.0,0,0.0
BMS-777607,2650,0,0,734,734,0.09587599381833095,0.3762658167892017,0.16783749543400608,0.5168169375497934,0.047813221709006926,0.0,0.0,0,0.0
BYL-719,3693,0,0,696,696,0.0953659937841787,0.3775956049910629,0.17089954274536773,0.4977707283294617,0.05805143360160966,0.0,0.0,0,0.0
Alisertib,4933,0,0,585,585,0.16070207740532513,0.29902398752449955,0.14640457546147145,0.4103530990505214,0.07586429625984252,0.0,0.0,0,0.0
BI-847325,4095,0,0,498,498,0.10093813496182576,0.2974936200648308,0.14622788536908046,0.061885392130935156,0.06763676004228329,0.0,0.0,0,0.0
Barasertib_HQPA,4343,0,0,462,462,0.12380326812858033,0.25371756288402025,0.14622788536908046,0.0661347928777606,0.06938586400817996,0.0,0.0,0,0.0
Apitolisib,3715,0,0,454,454,0.1805513124453663,0.3349648009479367,0.14622788536908046,0.16986220663965867,0.07201845533498759,0.0,0.0,0,0.0
AEE-788,4475,0,0,376,376,0.060160520306306864,0.21876846443701936,0.16048544241201498,0.5818300893424259,0.06059087954939341,0.0,0.0,0,0.0
Afatinib,5527,0,0,340,340,0.12939567289592635,0.37191965248923964,0.14622788536908046,0.22760523205204994,0.04216766357421875,0.0,0.0,0,0.0
Axitinib,5026,0,0,182,182,0.0780890758810652,0.20638146270321034,0.1521073030179816,0.2680673715388339,0.09671336206896551,0.0,0.0,0,0.0
ARRY-380,5572,0,0,114,114,0.16841467760580012,0.4509306012140071,0.14622788536908046,0.2985681658250013,0.026160606971153848,0.0,0.0,0,0.0
AV-412,5350,0,0,51,51,0.12182872408298079,0.35419107556946017,0.14622788536908046,0.11654403704042175,0.0653076171875,0.0,0.0,0,0.0
AEW-541,4123,0,0,0,0,0.2331392883966765,0.42922471471054635,0.14622788536908046,0.08021686200184965,0.10291034345047924,0.0,0.0,0,0.0
ASP-3026,3515,0,0,0,0,0.15278129800007664,0.339617142958371,0.14622788536908046,0.06086307947974197,0.20191865808823528,0.0,0.0,0,0.0
AT-13148,3778,0,0,0,0,0.2747547972678539,1.1972959288043086,0.16783749543400608,0.2676447188109345,0.12493386243386244,0.0,0.0,0,0.0
AZD-2014,5262,0,0,0,0,0.21597756513942173,0.3345340000991355,0.14622788536908046,0.07670022160054574,0.15225694444444443,0.0,0.0,0,0.0
AZD-5438,2614,0,0,0,0,0.6776494477382236,0.5477175972708448,0.14622788536908046,0.10238145888028247,0.4634751773049645,0.0,0.0,0,0.0
AZD-8055,4568,0,0,0,0,0.2112796463429743,0.24431537832211436,0.14622788536908046,0.15299106342266328,0.13517992424242425,0.0,0.0,0,0.0
AZD-8186,3807,0,0,0,0,0.157332311651902,0.2777822263580241,0.16048544241201498,0.2778648837978266,0.10435855263157895,0.0,0.0,0,0.0
Alectinib,5332,0,0,0,0,0.4175448572671937,0.5384980362732685,0.14622788536908046,0.17188937111318575,0.40054086538461536,0.0,0.0,0,0.0
BI-2536,3940,0,0,0,0,0.40978802202532877,0.3806711842039796,0.14622788536908046,0.05390296180759996,0.652145127118644,0.0,0.0,0,0.0
Baricitinib,4361,0,0,0,0,0.4718215609407404,0.4662664981678297,0.14622788536908046,0.05465229793473405,0.1958063936781609,0.0,0.0,0,0.0
