sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#ARRY-380 PDPD.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,9.764507703453672,-12.932925444361924
_dyn_#ARRY-380_inBT474 1000nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,1000.0,Tech replicate 1 of 1,True,97.01094760928994,46.63518574490215
_dyn_#ARRY-380_inBT474 100nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,100.0,Tech replicate 1 of 1,True,75.83197967696266,36.30316812083088
_dyn_#ARRY-380_inBT474 10nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,10.0,Tech replicate 1 of 1,True,84.09123086107813,39.726662156755864
_dyn_#ARRY-380_inBT474 30000nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,30000.0,Tech replicate 1 of 1,True,109.14885995879116,50.91011220711917
_dyn_#ARRY-380_inBT474 3000nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,3000.0,Tech replicate 1 of 1,True,93.85359294504742,43.4649751286839
_dyn_#ARRY-380_inBT474 300nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,300.0,Tech replicate 1 of 1,True,79.21287822181175,38.307644939304865
_dyn_#ARRY-380_inBT474 30nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,30.0,Tech replicate 1 of 1,True,85.70296566573903,40.22257978469463
_dyn_#ARRY-380_inBT474 3nM.Tech replicate 1 of 1,dyn,ARRY-380,BT474,treatment,3.0,Tech replicate 1 of 1,True,113.18556371473746,51.18169844897568
_dyn_#ARRY-380_inBT474 DMSO.Tech replicate 1 of 1,dyn,ARRY-380,BT474,dmso,0.0,Tech replicate 1 of 1,True,98.17775531108903,41.947707723532574
_dyn_#ARRY-380_inBT474 PDPD.Tech replicate 1 of 1,dyn,ARRY-380,BT474,pdpd,0.0,Tech replicate 1 of 1,True,83.4135017051386,32.42130639087445
_dyn_#ASP-3026 1000nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-55.849148361591574,11.022610913592487
_dyn_#ASP-3026 100nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-25.442796948777726,-1.9271749540339222
_dyn_#ASP-3026 10nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-30.09792830220504,0.8113797869372309
_dyn_#ASP-3026 30000nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-33.21347367870812,2.3368502090411645
_dyn_#ASP-3026 3000nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-24.73552755919796,-2.1194722221875697
_dyn_#ASP-3026 300nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-43.398513611215755,6.017546874161642
_dyn_#ASP-3026 30nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-25.70271782505338,-1.2320348824167244
_dyn_#ASP-3026 3nM.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-12.662764225884406,-6.200251530475024
_dyn_#ASP-3026 DMSO.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-31.30107694674627,1.805087218423845
_dyn_#ASP-3026 PDPD.Tech replicate 1 of 1,dyn,ASP-3026,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-18.73568305170477,-8.098102791154986
_dyn_#AT-13148 1000nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,113.58630468056218,-92.7408924016512
_dyn_#AT-13148 100nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,99.90791215178503,-83.28427355796126
_dyn_#AT-13148 10nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,48.54420103557311,-35.48990474901309
_dyn_#AT-13148 30000nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,81.61511847728433,-63.89884864582548
_dyn_#AT-13148 3000nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,71.71476190480202,-59.24795899867624
_dyn_#AT-13148 300nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,91.29403054118504,-74.60322764174438
