,Afatinib,AZD-5438,Abemaciclib,Alvocidib,ARRY-380,AZD-1480,BMS-754807,AT-7519,BMS-387032,AMG-900,AZD-8330,AZD-2014,AZD-6482,AZD-8055,AT-13148,Amuvatinib,Barasertib,Barasertib_HQPA,AMG-208_withCAKI,BYL-719,AZD-1208,BGT-226,AZD-4547,AZD-5363,BMS-690514,BMS-777607,AEE-788,Apatinib,ASP-3026,Apitolisib,Axitinib,AEW-541,Alectinib,AZD-8186,BMS-777607_withCAKI,AXL-1717,Alisertib,BI-2536,Baricitinib,AT-9283,AZD-7762,BI-847325,AMG-208,BMS-911543,AV-412,Bafetinib
AZD-8330,-0.01581382313262518,-0.05781687056889169,0.00778302774340041,-0.09166342331147684,-0.07684748166770265,-0.047646065834239325,-0.005522446995617426,0.17978533811252723,0.14098805535686507,0.18157007403692435,1.0,0.07702158357399415,-0.0030865510625328624,0.016207605763799943,0.05467806339350111,0.010255887026554562,0.014788489519088531,0.003091773754452375,0.05239320978113596,0.06592745197750619,-0.01377343752046057,0.00836420940498397,0.09493995475709723,0.05075463250983655,-0.028821965667756508,0.0217559945451403,-0.04055190389191399,0.001707821655461667,-0.04029351269889523,-0.024598477494997686,-0.07141221748989271,-0.04540911328242477,-0.07361152465604749,-0.02169416542695286,-0.13427880498017664,-0.06016181520879018,-0.1564755866282059,0.06817513229021561,-0.13406507308903767,-0.12702834090727733,0.007190370295558046,-0.1439156143777755,-0.07286892029980246,-0.03476935440175913,0.01481318411684998,-0.0035190804584056944
AZD-2014,-0.05360999290512231,-0.04377692463711609,-0.04737382854806939,0.0059769190128275695,-0.030633540165380592,0.129764399380444,-0.01864754381334274,0.13874386129407698,-0.04055236994908807,-0.0152991504767484,0.07702158357399415,1.0,0.13381760324471453,0.07907727432494116,0.10114243337711326,0.13996968646847907,0.11817604482397907,0.015007143054295936,0.1382019289215301,0.0932811862162673,0.08800900250698931,0.19838989094998188,-0.07276596742831906,-0.015270489334530154,-0.043418312946077946,0.029568837262254174,-0.04149768486875982,0.046125480196275735,-0.15515248707433169,-0.11237291751337339,-0.11692656065698115,-0.06459645855844026,-0.09915219477298798,-0.11254816650825988,-0.08800833084048368,-0.022149805023434017,-0.08940909027336469,-0.023658645608286354,-0.11303398748140003,-0.139310021019581,-0.08451953306121102,-0.07045832702476673,-0.153367663552634,-0.030223521844136982,0.01546123718376024,-0.0008864692798285145
AZD-6482,-0.02656063447616015,-0.06730711368976834,0.000659588315554467,0.049547871930358985,-0.054042805789000725,0.03647513971018827,-0.03613958755326342,0.06998720230900869,0.021199450932176636,0.05262663684969496,-0.0030865510625328624,0.13381760324471453,1.0,0.09627276677966703,0.07118770959827957,0.020843905691506265,0.08854166771388981,-0.03261686770546147,-0.03328307072342362,0.006239247425177898,0.06855018307767077,0.055108018454364825,-0.06237639902539159,-0.05420369588376729,0.026483935780475906,-0.0009490549228847918,-0.0031266784486907637,-0.007964180638866353,0.0050745321861250066,-0.05889998801616148,-0.0675734444205085,0.015667265175273504,-0.08075565326177735,-0.09743921727620834,0.016420243775035183,-0.018732692864178994,0.04199412649863079,-0.03785842010389355,-0.00980500863147475,-0.0652254735161489,-0.07487796752738528,-0.045069634504792726,-0.03333763613363739,0.03045073791008125,-0.000675432137464936,0.07664091153381059
AZD-8055,0.05112748480975403,-0.04522842150934074,-0.08873209611693861,0.015757178553532085,-0.013567018522989529,0.12910681868416343,-0.01653831536937723,0.06418274279885355,-0.030454143784341022,0.037163202510799166,0.016207605763799943,0.07907727432494116,0.09627276677966703,1.0,0.1496372309530403,0.14204042531885983,0.1725855090938989,0.07647930433460562,0.12754208775989156,0.1190412070327669,0.07774259048482401,0.14615516668244574,-0.12581807135846204,-0.06994965563509449,0.003210762268337341,-0.01880510962410842,-0.012527113913831194,-0.06548746567214812,-0.10899828818422314,-0.11405589388541441,-0.1296441737443682,-0.1439360573849493,-0.1839408040726785,-0.16172299630427026,-0.0999786320330975,-0.009378794646886023,-0.019028882041185993,-0.11765945953716607,-0.12556104422963604,-0.11245095176236326,-0.12565213994208935,0.0005211464050865176,-0.06365565752342858,0.03501829835063023,-0.009972157085827419,0.005373030673171302
AT-13148,-0.058584181232382855,-0.08036383374301677,-0.033427951454316984,0.04070210981031454,-0.020419977122349067,0.0985299463892542,-0.033317180618301336,0.08140524754718736,0.009744557401682685,0.04183758776624673,0.05467806339350111,0.10114243337711326,0.07118770959827957,0.1496372309530403,1.0,0.2977941995114708,0.15697471734382604,0.06661046721430096,0.09839276913732278,0.12201666053033264,0.15639334664799742,0.13026638706712726,-0.05050640797817135,-0.06264507200314007,0.03219250955860208,-0.011824421540652918,-0.017877822240082313,0.005104590917501667,-0.12762227427175316,-0.2053457331590121,-0.17165542436779302,-0.1402732174560909,-0.17023624610488997,-0.1751085327909781,-0.13480307432029,0.0570253450394608,0.006024520827623064,-0.07963744942377268,-0.03194800368054985,-0.12681680016153327,-0.03263891149903581,-0.025769930692483373,-0.09261528199370819,0.040957285020643594,-0.05942231321070252,-0.012773143558472486
Amuvatinib,-0.009557096984266556,-0.06291567773585093,-0.003793766378796749,0.029962430869418157,0.0657079582317115,0.11406852230467236,0.02411309294500956,0.11859339435639733,-0.012327667860708868,0.11202920678361951,0.010255887026554562,0.13996968646847907,0.020843905691506265,0.14204042531885983,0.2977941995114708,1.0,0.15154882749246495,0.07932690831167699,0.13452568935870438,0.0664384425241311,0.1079226547950568,0.12351142861591409,-0.07516486482365295,-0.005223022970729143,-0.01180157659121476,-0.028040662391159252,-0.023094487210066725,-0.005420473274385079,-0.12244135751104716,-0.1039580134248606,-0.16522735022855004,-0.16151218350945873,-0.11146262698799349,-0.09196457249776444,-0.11607178145544428,-0.00661113957058437,-0.040291454631314776,0.009038587639755256,-0.0027277339413503635,-0.05612573491678129,-0.013232053235172755,0.012187257124241421,-0.11902813843493232,0.11380563689079623,-0.017187501445481368,-0.034837156826996715
Barasertib,-0.014208185227930012,-0.030625138344843206,-0.05968249098271327,0.022526343910450625,0.06083146959671282,0.117983401408447,-0.017497715458974605,0.10047757539855298,-0.016540410562611043,0.08400429635799905,0.014788489519088531,0.11817604482397907,0.08854166771388981,0.1725855090938989,0.15697471734382604,0.15154882749246495,1.0,0.30281610310547996,0.2477507096114348,0.08035661348932346,0.21127011704291518,0.1521012746110252,-0.08393426157925911,-0.1388745911739978,-0.014626397362488141,0.007934801744529752,-0.07596871990970055,-0.011136362513266251,-0.11366453674573421,-0.09116117924444603,-0.2145423970302881,-0.0909711418635633,-0.1531049361152102,-0.11958022992935458,-0.04069140199004256,0.03332123833007798,0.04100876184299877,-0.06607249644475743,0.001557039890012687,-0.08272274197631621,0.01513735179945088,0.09303244585703245,-0.07453677821983193,0.036854818816734226,-0.040743225830678485,-0.008610548567788498
Barasertib_HQPA,0.012951538412330255,-0.06382655167662492,-0.03568313875387806,0.06010952272146428,0.047329626680187024,-0.014878836762165205,-0.041082532276617886,-0.011934651636939252,-0.0371463641677764,0.02954572548788309,0.003091773754452375,0.015007143054295936,-0.03261686770546147,0.07647930433460562,0.06661046721430096,0.07932690831167699,0.30281610310547996,1.0,0.05299910778818027,0.0037015998351105795,0.11709142075410967,0.0939507419101375,-0.07237458481176566,-0.11022217572208559,0.006486611582216833,0.037435223774239856,-0.038212948994769125,0.012512055116107262,-0.12051778644415088,0.04470221275986965,-0.09648811213847272,0.0052891185095811834,-0.062130980159800536,0.036079866804039004,0.04801095129673028,0.08319745393395783,0.06989746291002595,-0.07115716418335553,0.046256153764321906,0.018598766650845845,0.006502382559502119,0.16891323512226367,0.0031748126172577674,-0.0017482981480823085,-0.016683959486609348,0.013815386212630173
AMG-208_withCAKI,-0.002742102038789445,0.061124483760636554,0.01001277913925848,0.02494293168257526,0.06972526149161,0.1688268271653165,-0.0023955174220762422,0.14512214933561993,-0.0813240669794243,-0.0011418380763625518,0.05239320978113596,0.1382019289215301,-0.03328307072342362,0.12754208775989156,0.09839276913732278,0.13452568935870438,0.2477507096114348,0.05299910778818027,1.0,0.20097500096063198,0.16854347678703638,0.18616650346778738,0.013935846681867757,0.008848247102309042,-0.045867550883337806,-0.016647902604230595,0.025413859833835564,-0.029505912983151215,-0.17262029460192868,-0.20544966174204804,-0.12192332045122939,-0.16855719848444187,-0.1047435640991807,-0.1597878069373424,-0.13430002542240368,-0.11795051176304529,-0.11708203329544449,-0.08142024303377925,-0.10878181777906824,-0.07844857322326992,-0.06935082990931332,-0.13187768127908991,-0.007377735398238395,0.054478401474043196,-0.02614507703160696,-0.11104258690338158
BYL-719,-0.003843182402129427,0.03291989936442035,0.10156204780129385,-0.00043492292991133546,0.03934203082589624,0.052953054904801185,-0.09722475017578582,0.0557607985799156,0.03313012002238342,0.1201609157771743,0.06592745197750619,0.0932811862162673,0.006239247425177898,0.1190412070327669,0.12201666053033264,0.0664384425241311,0.08035661348932346,0.0037015998351105795,0.20097500096063198,1.0,0.1092371693868648,0.15770709718874576,-0.01977361862418503,0.13174131355807198,-0.03852454675393646,-0.0761951138937223,-0.0038339214811560387,0.0033550864423377317,-0.0905830922519734,-0.1398847882857755,-0.030006903293160837,-0.17545531407836587,-0.06716264413226429,-0.14285319302827504,-0.10806119355898768,-0.15198259895200084,-0.17715096903373512,-0.05190602458397367,-0.15179758404334387,-0.2144643796832318,-0.11511443657708736,-0.2072575537025739,-0.14359981540034764,-0.06531397904088851,-0.04969562656586801,-0.012661156949130935
AZD-1208,0.01799556751301434,-0.057894386610419825,-0.09190585946598773,0.037026382582407015,-0.06872318512626718,0.12065034550556229,0.08616949306990235,0.08112522914813759,-0.0345355800087878,0.051464560371124346,-0.01377343752046057,0.08800900250698931,0.06855018307767077,0.07774259048482401,0.15639334664799742,0.1079226547950568,0.21127011704291518,0.11709142075410967,0.16854347678703638,0.1092371693868648,1.0,0.2004417907714855,-0.12690445419222243,-0.08358563398335032,-0.08592628901579631,-0.026127550437377214,-0.009654219837406641,0.0014184194436762324,-0.1821883013805544,-0.11449940510005813,-0.1685958075831584,-0.03953652853407255,-0.11223682264357153,-0.0376970935837779,0.046500758951313594,0.10914342673071295,0.055914802123565546,-0.02335768719659221,0.11686568970190168,-0.09572363574801802,0.001177514431006663,0.1395994893556013,-0.009728731594194153,0.10872102889027525,-0.018194788045221413,-0.06227324864084895
BGT-226,-0.012777827533582592,0.009556956028742984,-0.013673394761209675,0.06825064347726881,-0.03062316382415363,0.10385486871168692,-0.0737517774955508,0.09379897629809478,-0.023918717763993864,-0.023845038611342934,0.00836420940498397,0.19838989094998188,0.055108018454364825,0.14615516668244574,0.13026638706712726,0.12351142861591409,0.1521012746110252,0.0939507419101375,0.18616650346778738,0.15770709718874576,0.2004417907714855,1.0,-0.18059604462376197,-0.02443442548087928,0.00879783298100205,-0.035306320617124944,-0.05746543484808998,-0.005327667455640894,-0.19485348410194323,-0.1974817150461042,-0.18478286086144668,-0.0807527487771167,-0.1814937898294676,-0.06843789799157633,-0.08207790974834149,0.031424256114293676,0.05023647725844871,-0.09388429960078686,-0.029518186908306272,-0.08773798303500299,-0.018353678446235935,0.009661938812267973,0.014507744437753961,0.1910616963505887,-0.0059696578800890205,-0.09203372092234109
AZD-4547,-0.011270342030964803,0.04742691307064214,0.010622069651550258,-0.09336766372297439,0.037199933715031774,-0.09667186900383162,0.04650645576743044,-0.029657647686843782,0.02765606615227546,0.043128749655984254,0.09493995475709723,-0.07276596742831906,-0.06237639902539159,-0.12581807135846204,-0.05050640797817135,-0.07516486482365295,-0.08393426157925911,-0.07237458481176566,0.013935846681867757,-0.01977361862418503,-0.12690445419222243,-0.18059604462376197,1.0,0.18518284849515212,0.039283830248780474,0.09276028008480326,0.039769631220756975,0.03743005173919512,0.027308406420480675,0.1412001350199288,0.056096409721056985,0.02099852266911628,0.031119291871601503,-0.1170515122246158,-0.07956435559243112,-0.08144925319884233,-0.09206727114268043,0.03959266878899819,-0.05972763568879725,0.02388983261215123,-0.0066059074157976735,0.008325659685040546,0.010304485839965224,-0.0017281068549698506,-0.01824810570174405,-0.0606796880076913
AZD-5363,-0.00855493562587017,0.02756507366308081,0.06454897150923838,-0.11258535963592546,-0.0022313376645778714,0.029743139099014795,-0.018613048346382905,-0.012349503387328762,0.01952397552985323,0.051418770827592476,0.05075463250983655,-0.015270489334530154,-0.05420369588376729,-0.06994965563509449,-0.06264507200314007,-0.005223022970729143,-0.1388745911739978,-0.11022217572208559,0.008848247102309042,0.13174131355807198,-0.08358563398335032,-0.02443442548087928,0.18518284849515212,1.0,0.05728694194208422,0.03658162215136566,0.03912784051333049,0.0032662981752335056,-0.012662467960748375,0.014790702361865768,0.11436716713656102,-0.06598420136540607,0.04966155338927769,-0.06916314837879008,-0.1920039621351433,-0.17519912460950862,-0.10230550226247918,-0.01305524827720036,-0.031049326610532328,-0.024896801456172398,-0.018659257664427435,-0.11375744416323506,-0.0038535259027529423,-0.014067171083381185,-0.016359770663018382,-0.04163901611473733
BMS-690514,-0.0009168654042779204,-0.0250865164561763,0.014247553268478133,0.022627835511303304,-0.0026514211321836687,-0.056867408088570055,-0.07902907956525933,0.022013150100930804,0.07399502590697367,-0.0014432888688605604,-0.028821965667756508,-0.043418312946077946,0.026483935780475906,0.003210762268337341,0.03219250955860208,-0.01180157659121476,-0.014626397362488141,0.006486611582216833,-0.045867550883337806,-0.03852454675393646,-0.08592628901579631,0.00879783298100205,0.039283830248780474,0.05728694194208422,1.0,0.06907622773399318,-0.00981098777198487,0.014655961818901888,0.022716871155565376,-0.010658212563467058,0.035238259641765815,-0.0008278997204882123,0.05457952272737854,-0.02937502488774805,0.01976495415485025,-0.034108188004183505,-0.0034671674403774946,0.026022425696418765,0.06523360088160166,-0.023922879092177333,0.05339080702131646,0.02190486563118617,0.015432252021729157,0.07628540452403346,0.0091723648641014,-0.13826698964420633
BMS-777607,-0.1045074786663597,-0.017522148037132233,-0.07973179046293098,-0.04503235857972725,-0.012347551257477734,0.0024138187313639163,-0.11251696794439019,0.04664727443819778,-0.026260874461083623,0.06679335707199098,0.0217559945451403,0.029568837262254174,-0.0009490549228847918,-0.01880510962410842,-0.011824421540652918,-0.028040662391159252,0.007934801744529752,0.037435223774239856,-0.016647902604230595,-0.0761951138937223,-0.026127550437377214,-0.035306320617124944,0.09276028008480326,0.03658162215136566,0.06907622773399318,1.0,-0.05643813584516234,-0.002381141788288944,0.020858395913051612,0.06864353114236536,-0.02240079208836443,0.014797428096103493,0.03739562312528124,-0.0739875803621963,-0.014153014114233958,-0.0630635399066833,-0.016667570517012967,-0.018070964111517644,-0.014185949277739921,-0.08564803651008947,-0.0018191896297607576,0.008197934735766377,-0.044386004434984506,-0.03259716711061476,-0.007485776468133663,0.01845343545382522
AEE-788,-0.003322219893381545,-0.016657082536714968,0.01917163169537487,0.02059539597983019,0.04079660282844078,-0.01799642300689275,0.057397980677593906,-0.018849521583233816,-0.07509437382692849,-0.022453989389603992,-0.04055190389191399,-0.04149768486875982,-0.0031266784486907637,-0.012527113913831194,-0.017877822240082313,-0.023094487210066725,-0.07596871990970055,-0.038212948994769125,0.025413859833835564,-0.0038339214811560387,-0.009654219837406641,-0.05746543484808998,0.039769631220756975,0.03912784051333049,-0.00981098777198487,-0.05643813584516234,1.0,0.026832576203304117,0.06416049222863525,-0.036173365734454066,0.045627766892257726,0.023351888528024164,0.0004044558392486781,-0.01646271355516257,-0.047698293215407035,-0.04433309289683751,-0.027293661493238926,-0.0438390429867415,-0.01579104027943742,0.0982969751410624,-0.025943279369594206,0.058893685960609565,0.04498693607338241,0.021188787923993712,0.024256552470839195,-0.0030908467905215856
Apatinib,-0.05749480382007337,-0.021995310243262605,0.020184865440177675,-0.04814186461824705,0.026918777563417685,-0.08042230438217078,0.041687977221247625,0.03368737704051319,0.0046218840875022725,0.06949115795246617,0.001707821655461667,0.046125480196275735,-0.007964180638866353,-0.06548746567214812,0.005104590917501667,-0.005420473274385079,-0.011136362513266251,0.012512055116107262,-0.029505912983151215,0.0033550864423377317,0.0014184194436762324,-0.005327667455640894,0.03743005173919512,0.0032662981752335056,0.014655961818901888,-0.002381141788288944,0.026832576203304117,1.0,0.021144596618708517,-0.002276740560451515,0.04147894755831948,0.017083510254904476,-0.005607309572719902,0.047074899275023424,-0.009973601264438227,0.03265471891785161,0.009164569604126174,0.10692651432666712,0.042628712027985426,0.06727210690125361,0.00848414265510666,-0.027737663850705217,-0.06735599819564742,-0.046557856564311086,-0.02623368370418999,0.002798679238277095
ASP-3026,-0.011091953243052899,-0.005947124640895941,0.024192842028968,0.012144948252219826,-0.0014643427499078745,-0.06967629207118146,-0.0075148638283803,-0.0789307293800034,0.024974735009580067,-0.004293011957539709,-0.04029351269889523,-0.15515248707433169,0.0050745321861250066,-0.10899828818422314,-0.12762227427175316,-0.12244135751104716,-0.11366453674573421,-0.12051778644415088,-0.17262029460192868,-0.0905830922519734,-0.1821883013805544,-0.19485348410194323,0.027308406420480675,-0.012662467960748375,0.022716871155565376,0.020858395913051612,0.06416049222863525,0.021144596618708517,1.0,0.1456262417181465,0.09813394072920076,0.04826259141310126,0.1540190464562236,0.06260012905026419,0.10166338276061126,-0.03689560699436851,0.03708971489425347,0.08284050226971237,0.1437625357306467,0.08429995021757837,0.18297646468617104,0.021324293807506032,0.020821899170982813,0.01251946214084234,0.0062728909674423785,0.10357380163048296
